init_date,end_date,bytes
2002-08-14 16:00:00.000016,2002-08-14 16:04:59.999981,23532177800
2002-08-14 16:05:00.000018,2002-08-14 16:10:00.000009,22546275374
2002-08-14 16:10:00.000019,2002-08-14 16:14:59.999989,18533175391
2002-08-14 16:15:00.000024,2002-08-14 16:19:59.999982,22080557561
2002-08-14 16:20:00.000020,2002-08-14 16:25:00.000008,23196032160
2002-08-14 16:25:00.000016,2002-08-14 16:30:00.000012,22579126776
2002-08-14 16:30:00.000050,2002-08-14 16:35:00.000005,22957941655
2002-08-14 16:35:00.000019,2002-08-14 16:39:59.999998,23200130711
2002-08-14 16:40:00.000024,2002-08-14 16:44:59.999984,23815256142
2002-08-14 16:45:00.000016,2002-08-14 16:50:00.000010,23582300173
2002-08-14 16:50:00.000021,2002-08-14 16:55:00.000010,23744775905
2002-08-14 16:55:00.000033,2002-08-14 16:59:59.999994,23972545567
2002-08-14 18:00:00.000010,2002-08-14 18:05:00.000006,23554110568
2002-08-14 18:05:00.000014,2002-08-14 18:10:00.000000,23352894494
2002-08-14 18:10:00.000020,2002-08-14 18:15:00.000009,22391585877
2002-08-14 18:15:00.000021,2002-08-14 18:19:59.999998,22663886985
2002-08-14 18:20:00.000038,2002-08-14 18:25:00.000005,20270629578
2002-08-14 18:25:00.000023,2002-08-14 18:30:00.000004,21532544637
2002-08-14 18:30:00.000018,2002-08-14 18:35:00.000009,22122799679
2002-08-14 18:35:00.000014,2002-08-14 18:39:59.999977,21980382279
2002-08-14 18:40:00.000022,2002-08-14 18:44:59.999996,22551122368
2002-08-14 18:45:00.000018,2002-08-14 18:49:59.999990,22527497307
2002-08-14 18:50:00.000021,2002-08-14 18:55:00.000000,22319921914
2002-08-14 18:55:00.000010,2002-08-14 18:59:59.999972,22337050474
